Wavelength1,Absorbance1,Wavelength2,Absorbance2,Wavelength3,Absorbance3
460,12008.85,460,10813.16,460,11654.85
460.5,12495,460.5,11250.91,460.5,12126.67
461,13152.3,461,11842.76,461,12764.59
461.5,13958.7,461.5,12568.87,461.5,13547.22
462,14864.85,462,13384.8,462,14426.66
462.5,15803.55,462.5,14230.04,462.5,15337.69
463,16721.25,463,15056.36,463,16228.33
463.5,17589.6,463.5,15838.25,463.5,17071.09
464,18413.85,464,16580.44,464,17871.04
464.5,19241.25,464.5,17325.45,464.5,18674.05
465,20116.95,465,18113.96,465,19523.93
465.5,21068.25,465.5,18970.55,465.5,20447.19
466,22109.85,466,19908.44,466,21458.09
466.5,23241.75,466.5,20927.64,466.5,22556.62
467,24465,467,22029.09,467,23743.81
467.5,25760.7,467.5,23195.78,467.5,25001.31
468,27112.05,468,24412.58,468,26312.83
468.5,28504.35,468.5,25666.25,468.5,27664.09
469,29917.65,469,26938.84,469,29035.72
469.5,31313.1,469.5,28195.35,469.5,30390.04
470,32632.95,470,29383.78,470,31670.98
470.5,33849.9,470.5,30479.56,470.5,32852.06
471,34970.25,471,31488.36,471,33939.38
471.5,36006.6,471.5,32421.53,471.5,34945.18
472,36954.75,472,33275.27,472,35865.38
472.5,37806.3,472.5,34042.04,472.5,36691.83
473,38591.7,473,34749.24,473,37454.08
473.5,39365.55,473.5,35446.04,473.5,38205.11
474,40167.75,474,36168.36,474,38983.67
474.5,40984.65,474.5,36903.93,474.5,39776.49
475,41766.9,475,37608.29,475,40535.68
475.5,42489.3,475.5,38258.76,475.5,41236.78
476,43159.2,476,38861.96,476,41886.93
476.5,43792.35,476.5,39432.07,476.5,42501.42
477,44384.55,477,39965.31,477,43076.16
477.5,44907.45,477.5,40436.15,477.5,43583.65
478,45334.79,478,40820.94,478,43998.39
478.5,45675,478.5,41127.27,478.5,44328.57
479,45972.15,479,41394.84,479,44616.96
479.5,46266.15,479.5,41659.56,479.5,44902.3
480,46545.45,480,41911.05,480,45173.36
480.5,46730.25,480.5,42077.45,480.5,45352.71
481,46734.45,481,42081.24,481,45356.79
481.5,46540.2,481.5,41906.33,481.5,45168.27
482,46205.25,482,41604.73,482,44843.19
482.5,45825.15,482.5,41262.47,482.5,44474.3
483,45455.54,483,40929.67,483,44115.59
483.5,45113.25,483.5,40621.45,483.5,43783.38
484,44782.49,484,40323.63,484,43462.38
484.5,44449.65,484.5,40023.93,484.5,43139.34
485,44116.8,485,39724.22,485,42816.3
485.5,43800.75,485.5,39439.64,485.5,42509.57
486,43521.45,486,39188.15,486,42238.5
486.5,43294.64,486.5,38983.92,486.5,42018.39
487,43100.4,487,38809.02,487,41829.87
487.5,42892.49,487.5,38621.81,487.5,41628.09
488,42638.4,488,38393.02,488,41381.49
488.5,42338.1,488.5,38122.62,488.5,41090.04
489,42025.19,489,37840.87,489,40786.36
489.5,41728.05,489.5,37573.31,489.5,40497.97
490,41447.7,490,37320.87,490,40225.89
490.5,41145.29,490.5,37048.58,490.5,39932.39
491,40779.9,491,36719.56,491,39577.77
491.5,40350.45,491.5,36332.87,491.5,39160.98
492,39910.49,492,35936.72,492,38733.99
492.5,39537.75,492.5,35601.09,492.5,38372.24
493,39285.75,493,35374.18,493,38127.67
493.5,39150.29,493.5,35252.21,493.5,37996.2
494,39085.2,494,35193.6,494,37933.03
494.5,39022.2,494.5,35136.87,494.5,37871.89
495,38930.85,495,35054.62,495,37783.23
495.5,38804.85,495.5,34941.16,495.5,37660.94
496,38653.65,496,34805.02,496,37514.2
496.5,38463.6,496.5,34633.89,496.5,37329.75
497,38207.4,497,34403.2,497,37081.1
497.5,37870.35,497.5,34099.71,497.5,36753.99
498,37481.84,498,33749.89,498,36376.94
498.5,37116.45,498.5,33420.87,498.5,36022.31
499,36860.25,499,33190.18,499,35773.67
499.5,36760.5,499.5,33100.36,499.5,35676.86
500,36784.65,500,33122.11,500,35700.3
500.5,36834,500.5,33166.55,500.5,35748.19
501,36822.45,501,33156.15,501,35736.98
501.5,36720.6,501.5,33064.44,501.5,35638.13
502,36551.55,502,32912.22,502,35474.07
502.5,36346.8,502.5,32727.85,502.5,35275.35
503,36110.55,503,32515.13,503,35046.07
503.5,35840.7,503.5,32272.15,503.5,34784.17
504,35568.74,504,32027.27,504,34520.23
504.5,35337.75,504.5,31819.27,504.5,34296.05
505,35172.9,505,31670.84,505,34136.06
505.5,35070,505.5,31578.18,505.5,34036.19
506,34995.45,506,31511.05,506,33963.84
506.5,34935.6,506.5,31457.16,506.5,33905.75
507,34891.5,507,31417.45,507,33862.95
507.5,34894.65,507.5,31420.29,507.5,33866.01
508,34979.7,508,31496.87,508,33948.55
508.5,35148.75,508.5,31649.09,508.5,34112.62
509,35347.19,509,31827.78,509,34305.21
509.5,35497.35,509.5,31962.98,509.5,34450.94
510,35561.4,510,32020.65,510,34513.1
510.5,35559.3,510.5,32018.76,510.5,34511.07
511,35550.89,511,32011.2,511,34502.91
511.5,35596.05,511.5,32051.85,511.5,34546.73
512,35727.29,512,32170.03,512,34674.11
512.5,35923.65,512.5,32346.84,512.5,34864.68
513,36127.35,513,32530.25,513,35062.37
513.5,36249.14,513.5,32639.92,513.5,35180.58
514,36218.7,514,32612.51,514,35151.03
514.5,36040.2,514.5,32451.78,514.5,34977.79
515,35794.5,515,32230.55,515,34739.33
