Wavelength1,Absorbance1,Wavelength2,Absorbance2,Wavelength3,Absorbance3
490,34205.9,490,33794.6,490,34222.2
491,36436.8,491,36298.2,491,36092.3
492,38884.6,492,38500.9,492,38213.2
493,41635.9,493,40926.8,493,40324.1
494,42938.4,494,42057,494,42089.8
495,45373.9,495,44073.9,495,44385
496,47164.7,496,46517,496,45451.8
497,47935.6,497,47550.1,497,46943.3
498,48987.8,498,48955,498,48103.7
499,50432.8,499,49232,499,48938.6
500,50447.2,500,49059.7,500,48692.4
501,50685.4,501,50073.5,501,49673.3
502,50250.1,502,50551.9,502,49234.1
503,50434.9,503,49938,503,49018.6
504,49377.7,504,49176.6,504,48401.1
505,49227.9,505,47783.8,505,47039.6
506,47601.3,506,46738.4,506,45943.4
507,46379.7,507,45513.2,507,45392.4
508,44479.2,508,43654.4,508,43480.5
509,42506.9,509,42008,509,40740.9
510,41022.8,510,39944.2,510,39952.4
511,38794.8,511,38388.7,511,37933.7
512,36834.4,512,36255.4,512,36322.7
513,34951.3,513,34998.1,513,34749.6
514,33228.8,514,33328.5,514,32988.7
515,32217.6,515,31729.5,515,31320.8
516,30105.3,516,30030.2,516,30022
517,29087.7,517,28202.4,517,28971.9
518,27841.2,518,27520.5,518,27573.3
519,26982.9,519,26131.1,519,26360.2
520,25634.4,520,25472.2,520,25143.9
521,24527.9,521,24359.7,521,23920.2
522,23590.1,522,23624.5,522,23709.6
523,23051.5,523,22559.7,523,23075.8
524,22349.2,524,22001.2,524,21908.1
525,21839.3,525,21145.5,525,21074.7
526,21198.1,526,20939.2,526,20844.2
527,20611.7,527,20090.1,527,20205.3
528,19900.1,528,19544.4,528,19439.4
529,19037.3,529,19221.2,529,18819.2
530,18673.7,530,18706,530,18489.9
531,18344.5,531,17912.4,531,17676.2
532,17983.1,532,17851.9,532,17201.9
533,17272.5,533,17476.4,533,17276.6
534,16895.1,534,16802.3,534,16302
535,16070,535,16076.1,535,15838.1
536,15646.5,536,15473.1,536,14969
537,15047.6,537,14678.8,537,14703
538,14509.5,538,14029.9,538,14485.3
539,14001.7,539,13772,539,13715.6
540,13262.4,540,13274.5,540,13248.3
541,12537.4,541,12593.8,541,12312
542,11887.3,542,11661.9,542,11961.7
543,11849,543,11408.3,543,11170.9
544,10965.7,544,10828.9,544,10810.8
545,10808.8,545,10340.2,545,10273.9
546,10308,546,9733.01,546,10038.6
547,9588.27,547,9499.82,547,9664.66
548,9089.82,548,8955.18,548,8732.14
549,8728.12,549,8704.01,549,8523.18
550,8330.33,550,8095.31,550,7972.79
