Wavelength1,Absorbance1,Wavelength2,Absorbance2,Wavelength3,Absorbance3
480,"252,496",480,"255,037",480,"254,110"
481,"293,826",481,"292,648",481,"293,249"
482,"339,201",482,"340,683",482,"336,333"
483,"384,546",483,"388,759",483,"385,764"
484,"444,350",484,"439,977",484,"443,150"
485,"498,797",485,"497,817",485,"494,465"
486,"558,766",486,"557,983",486,"555,111"
487,"619,070",487,"618,193",487,"616,824"
488,"683,167",488,"681,959",488,"678,405"
489,"742,938",489,"740,871",489,"740,317"
490,"805,310",490,"805,203",490,"801,202"
491,"866,441",491,"866,092",491,"865,203"
492,"925,781",492,"924,043",492,"925,810"
493,"987,334",493,"985,070",493,"985,486"
494,"1,036,830",494,"1,039,160",494,"1,034,720"
495,"1,092,580",495,"1,093,340",495,"1,088,120"
496,"1,136,410",496,"1,137,850",496,"1,135,340"
497,"1,183,400",497,"1,184,850",497,"1,179,430"
498,"1,217,650",498,"1,217,720",498,"1,218,290"
499,"1,251,580",499,"1,256,100",499,"1,251,150"
500,"1,274,480",500,"1,276,520",500,"1,272,560"
501,"1,297,360",501,"1,297,000",501,"1,295,080"
502,"1,310,830",502,"1,313,160",502,"1,305,320"
503,"1,313,000",503,"1,313,360",503,"1,310,860"
504,"1,309,620",504,"1,312,520",504,"1,311,870"
505,"1,298,300",505,"1,302,200",505,"1,294,640"
506,"1,280,160",506,"1,276,460",506,"1,273,650"
507,"1,245,980",507,"1,248,730",507,"1,243,390"
508,"1,209,350",508,"1,213,870",508,"1,214,810"
509,"1,169,190",509,"1,172,140",509,"1,169,340"
510,"1,125,550",510,"1,120,510",510,"1,124,100"
511,"1,074,000",511,"1,076,030",511,"1,071,570"
512,"1,024,710",512,"1,025,580",512,"1,020,230"
513,"973,650",513,"972,112",513,"969,148"
514,"922,290",514,"924,827",514,"915,490"
515,"874,644",515,"872,403",515,"869,636"
516,"826,808",516,"824,177",516,"826,603"
517,"787,322",517,"786,765",517,"782,821"
518,"748,127",518,"747,426",518,"741,461"
519,"712,380",519,"712,892",519,"709,799"
520,"683,164",520,"680,328",520,"679,046"
521,"653,856",521,"655,858",521,"651,506"
522,"627,948",522,"625,684",522,"624,736"
523,"603,072",523,"603,392",523,"599,804"
524,"579,216",524,"579,418",524,"578,863"
525,"558,930",525,"560,797",525,"557,639"
526,"539,000",526,"539,102",526,"538,101"
527,"523,029",527,"522,904",527,"518,829"
528,"503,805",528,"503,578",528,"501,539"
529,"488,202",529,"487,731",529,"487,273"
530,"473,051",530,"472,492",530,"470,021"
531,"455,324",531,"456,024",531,"455,974"
532,"441,944",532,"441,580",532,"442,435"
533,"424,631",533,"425,738",533,"426,544"
534,"412,592",534,"412,153",534,"412,454"
535,"398,396",535,"399,639",535,"399,781"
536,"385,450",536,"384,881",536,"385,131"
537,"371,584",537,"373,133",537,"373,364"
538,"358,789",538,"359,968",538,"356,633"
539,"344,674",539,"346,887",539,"346,436"
540,"334,374",540,"333,285",540,"333,515"
541,"318,985",541,"321,224",541,"319,029"
542,"306,382",542,"306,646",542,"308,853"
543,"293,383",543,"293,623",543,"292,731"
544,"279,964",544,"280,677",544,"281,176"
545,"268,334",545,"266,782",545,"270,170"
546,"255,497",546,"255,853",546,"257,372"
547,"242,423",547,"243,253",547,"244,599"
548,"229,703",548,"231,279",548,"231,736"
549,"216,200",549,"217,986",549,"218,534"
550,"207,469",550,"207,524",550,"208,638"
