Wavelength1,Absorbance1,Wavelength2,Absorbance2,Wavelength3,Absorbance3
490,33709,490,34077,490,34222.2
491,34046.09,491,34417.77,491,36092.3
492,35748.3945,492,36138.6585,492,38213.2
493,37535.81423,493,37945.59143,493,40324.1
494,39412.60494,494,39842.871,494,42089.8
495,41383.23518,495,41835.01455,495,44385
496,43452.39694,496,43926.76527,496,45451.8
497,45625.01679,497,46123.10354,497,46943.3
498,47906.26763,498,48429.25871,498,48103.7
499,48385.33031,499,48913.5513,499,48938.6
500,48869.18361,500,49402.68681,500,48692.4
501,49357.87544,501,49896.71368,501,49673.3
502,49851.4542,502,50395.68082,502,49234.1
503,50349.96874,503,50899.63763,503,49018.6
504,49342.96937,504,49881.64487,504,48401.1
505,47862.68028,505,48385.19553,505,47039.6
506,46426.79988,506,46933.63966,506,45943.4
507,45033.99588,507,45525.63047,507,45392.4
508,43682.976,508,44159.86156,508,43480.5
509,41498.8272,509,41951.86848,509,40740.9
510,39423.88584,510,39854.27506,510,39952.4
511,37452.69155,511,37861.5613,511,37933.7
512,35580.05697,512,35968.48324,512,36322.7
513,33801.05412,513,34170.05908,513,34749.6
514,33125.03304,514,33486.6579,514,32988.7
515,32131.28205,515,32482.05816,515,31320.8
516,31167.34359,516,31507.59641,516,30022
517,30232.32328,517,30562.36852,517,28971.9
518,29325.35358,518,29645.49747,518,27573.3
519,28445.59298,519,28756.13254,519,26360.2
520,27592.22519,520,27893.44857,520,25143.9
521,26764.45843,521,27056.64511,521,23920.2
522,25961.52468,522,26244.94576,522,23709.6
523,25182.67894,523,25457.59738,523,23075.8
524,24427.19857,524,24693.86946,524,21908.1
525,23694.38261,525,23953.05338,525,21074.7
526,22983.55113,526,23234.46178,526,20844.2
527,22294.0446,527,22537.42792,527,20205.3
528,21625.22326,528,21861.30508,528,19439.4
529,20976.46656,529,21205.46593,529,18819.2
530,20347.17257,530,20569.30195,530,18489.9
531,19736.75739,531,19952.2229,531,17676.2
532,19144.65467,532,19353.65621,532,17201.9
533,17995.97539,533,18773.04652,533,17276.6
534,17096.17662,534,18209.85513,534,16302
535,15901,535,16096,535,15838.1
536,15582.98,536,15774.08,536,14969
537,15271.3204,537,15458.5984,537,14703
538,14965.89399,538,15149.42643,538,14485.3
539,14666.57611,539,14846.4379,539,13715.6
540,14373.24459,540,14549.50915,540,13248.3
541,12935.92013,541,13094.55823,541,12312
542,12677.20173,542,12832.66707,542,11961.7
543,11409.48156,543,11549.40036,543,11170.9
544,10839.00748,544,10971.93034,544,10810.8
545,10297.0571,545,10423.33382,545,10273.9
546,9782.204249,546,9902.167133,546,10038.6
547,9293.094036,547,9407.058777,547,9664.66
548,8828.439334,548,8936.705838,548,8732.14
549,8387.017368,549,8489.870546,549,8523.18
550,7967.666499,550,8065.377019,550,7972.79
